CLASS,TYPE,YEAR,MAKE,MODEL,TRIM,POWERTRAIN,FLEET
MIDSIZE,SUV,2023,LEXUS,GX460,OFFROAD CONCEPT - LUXURY,V8 4.6L SUPERCHARGED,1
MIDSIZE,SUV,2023,TOYOTA,4RUNNER,TRD OFFROAD,V6 4.0L,1
MIDSIZE,SUV,2023,SUBARU,OUTBACK,WILDERNESS,H4 2.4L XT,1
FULLSIZE,SUV,2023,LEXUS,LX600,ULTRA LUXURY,V6 3.4L TWIN TURBOCHARGED,1
FULLSIZE,SUV,2023,TOYOTA,SEQUOIA,TRD PRO,V6 3.4L TWIN TURBOCHARGED HYBRID,1
FULLSIZE,SUV,2023,SUBARU,ASCENT,TOURING XT,H4 2.4L XT,1
COMPACT,SUV,2023,SUBARU,FORESTER,WILDERNESS,H4 2.5L,1
MIDSIZE,SUV,2023,ACURA,MDX,TYPE S ADVANCE,V6 3.5L TURBOCHARGED,2
MIDSIZE,SUV,2023,HONDA,PASSPORT,TRAILSPORT,V6 3.5L,2
FULLSIZE,SUV,2023,HONDA,PILOT ,TRAILSPORT,V6 3.5L,2
MIDSIZE,SUV,2007,LEXUS,GX470,OFFROAD CONCEPT - BASE,V8 4.7L,3
MIDSIZE,SUV,2023,LEXUS,GX460,OFFROAD CONCEPT - LUXURY,V8 4.6L,3
MIDSIZE,SUV,1988,TOYOTA,4RUNNER,SR5,I4 2.4L,3
MIDSIZE,SUV,1991,TOYOTA,4RUNNER,SR5,V6 3.0L,3
MIDSIZE,SUV,2001,TOYOTA,4RUNNER,LIMITED,V6 3.4L,3
MIDSIZE,SUV,2007,TOYOTA,4RUNNER,LIMITED,V8 4.7L,3
MIDSIZE,SUV,2023,TOYOTA,4RUNNER,TRD OFFROAD,V6 4.0L,3
MIDSIZE,SUV,1995,SUBARU,OUTBACK,BASE,H4 2.2L,3
MIDSIZE,SUV,2001,SUBARU,OUTBACK,LL BEAN,H6 3.0L,3
MIDSIZE,SUV,2006,SUBARU,OUTBACK,LL BEAN,H6 3.0L,3
MIDSIZE,SUV,2011,SUBARU,OUTBACK,TOURING,H6 3.6L,3
MIDSIZE,SUV,2018,SUBARU,OUTBACK,TOURING,H6 3.6L,3
MIDSIZE,SUV,2023,SUBARU,OUTBACK,WILDERNESS,H4 2.4L XT,3
FULLSIZE,SUV,1997,LEXUS,LX450,BASE,I6 4.5L,3
FULLSIZE,SUV,2007,LEXUS,LX470,BASE,V8 4.7L,3
FULLSIZE,SUV,2021,LEXUS,LX570,INSPIRATION,V8 5.7L,3
FULLSIZE,SUV,2023,LEXUS,LX600,ULTRA LUXURY,V6 3.4L TWIN TURBOCHARGED,3
COMPACT,SUV,1954,TOYOTA,LAND CRUISER,SOFT-TOP,I6 3.4L,3
COMPACT,SUV,1959,TOYOTA,LAND CRUISER,SOFT-TOP,I6 3.9L,3
FULLSIZE,SUV,1983,TOYOTA,LAND CRUISER,HARD-TOP,I6 4.2L,3
FULLSIZE,SUV,1989,TOYOTA,LAND CRUISER,N/A,GASOLINE,3
FULLSIZE,SUV,1997,TOYOTA,LAND CRUISER,N/A,I6 4.5L,3
FULLSIZE,SUV,2007,TOYOTA,LAND CRUISER,BASE,V8 4.7L,3
FULLSIZE,SUV,2021,TOYOTA,LAND CRUISER,HERITAGE,V8 5.7L,3
FULLSIZE,SUV,2007,TOYOTA,SEQUOIA,SR5,V8 4.7L,3
FULLSIZE,SUV,2021,TOYOTA,SEQUOIA,TRD PRO,V8 5.7L,3
FULLSIZE,SUV,2023,TOYOTA,SEQUOIA,TRD PRO,V6 3.4L TWIN TURBOCHARGED HYBRID,3
FULLSIZE,SUV,2023,SUBARU,ASCENT,TOURING XT,H4 2.4L XT,3
COMPACT,SUV,2023,SUBARU,FORESTER,WILDERNESS,H4 2.5L,3
SUBCOMPACT,SUV,2023,SUBARU,CROSSTREK,SPORT,H4 2.5L,4
COMPACT,SUV,2023,SUBARU,FORESTER,WILDERNESS,H4 2.5L,4
COMPACT,SUV,2023,SUBARU,FORESTER,WILDERNESS,H4 2.5L,5
MIDSIZE,SUV,2023,SUBARU,OUTBACK,WILDERNESS,H4 2.4L XT,5
